Time,Setpoint,Measured_Temperature,True_Temperature,Ambient_Temp,Controller_Output,Error,Delta_Error
0,25,24.728810918960612,25.0,25,0.4122074031798701,0.2711890810393882,0.2711890810393882
1,25,25.27063174692233,25.1233535800174,25,1.0,-0.27063174692233005,-0.5418208279617183
2,25,25.942754382717077,25.42198959990947,25,1.0,-0.9427543827170766,-0.6721226357947465
3,25,25.673356784338836,25.71913616643851,25,0.0,-0.6733567843388357,0.26939759837824084
4,25,26.158519583216925,25.7155494598451,25,1.0,-1.1585195832169255,-0.4851627988780898
5,25,25.692810590628653,26.01123189046452,25,0.0,-0.6928105906286532,0.46570899258827225
6,25,25.868671086794556,26.006188350369804,25,1.0,-0.8686710867945564,-0.17586049616590316
7,25,27.042297821963658,26.300421213475314,25,1.0,-2.0422978219636576,-1.1736267351691012
8,25,25.73838994036694,26.593186584053893,25,0.0,-0.7383899403669396,1.303907881596718
9,25,27.23886421636302,26.585240532815984,25,1.0,-2.2388642163630195,-1.5004742759960799
10,25,26.02175706444716,26.876585361113023,25,0.0,-1.0217570644471614,1.217107151915858
11,25,25.779970669378372,26.867225852577764,25,0.0,-0.7799706693783719,0.24178639506878952
12,25,27.077454898439708,26.85791302478607,25,1.0,-2.077454898439708,-1.297484229061336
13,25,26.28330214958266,27.147897893355825,25,0.0,-1.28330214958266,0.7941527488570479
14,25,27.08037809400665,27.13718520792072,25,1.0,-2.080378094006651,-0.797075944423991
15,25,27.553345365755355,27.425777200666182,25,1.0,-2.553345365755355,-0.4729672717487041
16,25,27.01660488475291,27.712929834843006,25,0.0,-2.0166048847529083,0.5367404810024468
17,25,26.960493603087038,27.69939904084293,25,0.0,-1.9604936030870377,0.05611128166587065
18,25,26.916937560373622,27.68593573195947,25,0.0,-1.916937560373622,0.04355604271341562
19,25,28.42817106100927,27.672539571609207,25,1.0,-3.4281710610092695,-1.5112335006356474
20,25,28.448168166581922,27.958461473326487,25,0.0,-3.4481681665819224,-0.019997105572652885
21,25,28.140917808432537,27.94370608517062,25,0.0,-3.140917808432537,0.3072503581493855
22,25,27.150665491627393,27.929024289820205,25,0.0,-2.150665491627393,0.9902523168051438
23,25,27.754674942028963,27.914415720229588,25,1.0,-2.754674942028963,-0.6040094504015698
24,25,27.38348392914239,28.19913125962283,25,0.0,-2.3834839291423897,0.3711910128865732
25,25,27.970685129174083,28.18317552590012,25,1.0,-2.9706851291740826,-0.5872012000316928
26,25,28.61561774752116,28.466550620170405,25,1.0,-3.61561774752116,-0.6449326183470774
27,25,29.646504934735095,28.748512375261747,25,1.0,-4.646504934735095,-1.030887187213935
28,25,29.629029678866818,29.029067840232702,25,0.0,-4.629029678866818,0.017475255868276918
29,25,28.742799563707678,29.00897278054545,25,0.0,-3.7427995637076776,0.8862301151591403
30,25,30.161403874751844,28.98897794538651,25,1.0,-5.161403874751844,-1.4186043110441666
31,25,28.631826730183867,29.268334083323026,25,0.0,-3.6318267301838674,1.5295771445679769
32,25,29.35995793155655,29.24704567826987,25,1.0,-4.359957931556551,-0.7281312013726833
33,25,29.721093019225492,29.525114698018932,25,0.0,-4.721093019225492,-0.3611350876689414
34,25,28.79537819688998,29.502545594307062,25,0.0,-3.795378196889981,0.925714822335511
35,25,28.869479193343338,29.48008905446956,25,0.0,-3.869479193343338,-0.07410099645335677
36,25,29.731908637045382,29.457744517091754,25,1.0,-4.7319086370453824,-0.8624294437020446
37,25,29.396543519073415,29.734762671998116,25,0.0,-4.396543519073415,0.33536511797196766
38,25,29.667678091512904,29.711147944653813,25,0.0,-4.667678091512904,-0.2711345724394896
39,25,30.266509389059088,29.6876509962535,25,0.0,-5.266509389059088,-0.5988312975461838
40,25,29.3667971076741,29.66427123937224,25,0.0,-4.366797107674099,0.8997122813849892
41,25,29.517227169980753,29.641008089514898,25,0.0,-4.517227169980753,-0.15043006230665412
42,25,29.341841564971652,29.617860965101514,25,0.0,-4.341841564971652,0.17538560500910094
43,25,29.203048015826194,29.59482928745277,25,0.0,-4.2030480158261945,0.13879354914545772
44,25,29.510345308832548,29.571912480775527,25,0.0,-4.510345308832548,-0.30729729300635356
45,25,29.537820747729018,29.549109972148425,25,0.0,-4.537820747729018,-0.027475438896470195
46,25,29.176944480412356,29.526421191507556,25,0.0,-4.176944480412356,0.36087626731666234
47,25,29.5397612552485,29.50384557163223,25,0.0,-4.5397612552485,-0.36281677483614416
48,25,29.187995237243545,29.481382548130767,25,0.0,-4.187995237243545,0.3517660180049553
49,25,29.794191359753544,29.459031559426414,25,0.0,-4.794191359753544,-0.6061961225099992
50,25,29.73956666920948,29.43679204674329,25,0.0,-4.739566669209481,0.05462469054406327
51,25,29.26428217050172,29.414663454092413,25,0.0,-4.264282170501719,0.47528449870776157
52,25,29.90160153345632,29.392645228257823,25,0.0,-4.9016015334563185,-0.6373193629545995
53,25,28.467075574547835,29.370736818782724,25,0.0,-3.4670755745478345,1.434525958908484
54,25,29.48722375451211,29.34893767795574,25,1.0,-4.487223754512112,-1.020148179964277
55,25,29.79255869350626,29.62649850923627,25,0.0,-4.792558693506258,-0.30533493899414665
56,25,29.317590165152406,29.603423751656432,25,0.0,-4.3175901651524065,0.47496852835385184
57,25,29.999427651253903,29.580464079910147,25,0.0,-4.999427651253903,-0.6818374861014966
58,25,29.017418018983157,29.557618920004423,25,0.0,-4.017418018983157,0.9820096322707457
59,25,28.952255270801707,29.534887700809076,25,0.0,-3.9522552708017074,0.06516274818145007
60,25,29.37239680850997,29.51226985404244,25,0.0,-4.3723968085099685,-0.4201415377082611
61,25,29.602013054990795,29.48976481425717,25,0.0,-4.602013054990795,-0.2296162464808269
62,25,29.807340524013394,29.4673720188261,25,0.0,-4.807340524013394,-0.20532746902259902
63,25,28.967959510504112,29.445090907928176,25,0.0,-3.9679595105041123,0.8393810135092821
64,25,30.230627329863555,29.422920924534466,25,1.0,-5.230627329863555,-1.262667819359443
65,25,29.368088170978552,29.700112762833292,25,0.0,-4.368088170978552,0.8625391588850029
66,25,29.53904021459989,29.676670852631922,25,0.0,-4.53904021459989,-0.17095204362133742
67,25,29.952203066459333,29.653345859445444,25,0.0,-4.952203066459333,-0.41316285185944324
