Time,Setpoint,Measured_Temperature,True_Temperature,Ambient_Temp,Controller_Output,Error,Delta_Error
0,25,25.192999330221276,25.0,25,0.09357688512267885,-0.19299933022127647,-0.19299933022127647
1,25,24.20070436812778,25.028002999698003,25,0.9556892294172133,0.7992956318722193,0.9922949620934958
2,25,23.753476487617064,25.31385452917721,25,0.6859514819591638,1.246523512382936,0.4472278805107166
3,25,26.097520042392773,25.51756101052737,25,0.007345065573644814,-1.0975200423927731,-2.344043554775709
4,25,25.43682336274181,25.51717768426109,25,0.6469860725391124,-0.43682336274180855,0.6606966796509646
5,25,25.77393098179966,25.708209639729773,25,0.007130938120119527,-0.7739309817996585,-0.3371076190578499
6,25,25.992566626385685,25.706811371550664,25,0.04120230342959793,-0.9925666263856847,-0.21863564458602625
7,25,26.46623818514915,25.71561597586808,25,0.0073450655736448135,-1.4662381851491517,-0.473671558763467
8,25,26.112087846849107,25.71424484634117,25,0.3611798869590679,-1.112087846849107,0.3541503383000446
9,25,26.008180734698165,25.818766067392104,25,0.2430290823339677,-1.0081807346981648,0.10390711215094228
10,25,25.71494449094717,25.8874092108901,25,0.4548099862315513,-0.7149444909471683,0.29323624375099655
11,25,25.424682982118423,26.019085695168524,25,0.45300032907708887,-0.4246829821184228,0.29026150882874546
12,25,26.845558304761582,26.149563898079055,25,0.0073450655736448135,-1.8455583047615818,-1.420875322643159
13,25,26.006528201902356,26.146028444260825,25,0.5304005364288432,-1.0065282019023556,0.8390301028592262
14,25,25.975424123908972,26.299035626248372,25,0.20313241275307065,-0.9754241239089723,0.031104077993383328
15,25,26.448565198019654,26.353344287147806,25,0.0073450655736448135,-1.4485651980196543,-0.47314107411068207
16,25,26.36741275838364,26.34879247439897,25,0.23086221041236912,-1.3674127583836402,0.08115243963601415
17,25,26.025320928171503,26.411151148551454,25,0.3560706782609017,-1.025320928171503,0.3420918302121372
18,25,27.04987466734827,26.5106675978379,25,0.0073450655736448135,-2.04987466734827,-1.024553739176767
19,25,27.23389924418743,26.505331131803523,25,0.06633303780668356,-2.2338992441874304,-0.1840245768391604
20,25,26.448630993963643,26.517673505838154,25,0.5145637487640138,-1.4486309939636435,0.7852682502237869
21,25,26.345616288467287,26.664087921868184,25,0.24255692411675536,-1.345616288467287,0.10301470549635638
22,25,26.860840026467425,26.728373711092136,25,0.0073450655736448135,-1.8608400264674252,-0.5152237380001381
23,25,27.916071111638264,26.721951431288023,25,0.0073450655736448135,-2.9160711116382636,-1.0552310851708384
24,25,27.00030318718241,26.715561182738064,25,0.5519865009836229,-2.0003031871824106,0.915767924455853
25,25,26.733561265742626,26.87218743518379,25,0.32290240068412024,-1.733561265742626,0.2667419214397846
26,25,27.015604800521142,26.959478807924306,25,0.0073450655736448135,-2.0156048005211424,-0.2820435347785164
27,25,26.617810549721977,26.951903886641066,25,0.3792385727355614,-1.6178105497219768,0.39779425079916564
28,25,27.282148491589417,27.055656341739926,25,0.007345065573644814,-2.2821484915894175,-0.6643379418674407
29,25,27.207309944353362,27.047601733005582,25,0.22743841343514717,-2.207309944353362,0.07483854723605532
30,25,25.471216723187982,27.105450505920587,25,0.7940085682296986,-0.47121672318798247,1.7360932211653797
31,25,27.531120946938714,27.33255758302758,25,0.0073450655736448135,-2.5311209469387137,-2.0599042237507312
32,25,27.41735545686497,27.323121923590744,25,0.24821820395695204,-2.4173554568649713,0.11376549007374237
33,25,27.42077172264574,27.385814912078317,25,0.18318748656568012,-2.420771722645739,-0.003416265780767702
34,25,26.744216846240874,27.428734694615112,25,0.4805806790846658,-1.7442168462408745,0.6765548764048646
35,25,27.587687381257393,27.560435697982044,25,0.0073450655736448135,-2.5876873812573926,-0.8434705350165181
36,25,26.617526907877505,27.549863491705338,25,0.5544517644642625,-1.6175269078775045,0.9701604733798881
37,25,27.55486640262312,27.70306637719981,25,0.0073450655736448135,-2.5548664026231194,-0.9373394947456148
38,25,27.744329726699736,27.691782797442745,25,0.06244838196329237,-2.7443297266997355,-0.18946332407661615
39,25,26.63349709563877,27.697045230997233,25,0.5544517644642625,-1.63349709563877,1.1108326310609655
40,25,28.308537514947798,27.849514044504527,25,0.0073450655736448135,-3.3085375149477976,-1.6750404193090276
41,25,27.574309745958107,27.837500053959598,25,0.4989479306896271,-2.5743097459581072,0.7342277689896903
42,25,28.368868478230308,27.972658754564666,25,0.0073450655736448135,-3.3688684782303078,-0.7945587322722005
43,25,28.404269651191715,27.960030577216,25,0.16407524952352673,-3.404269651191715,-0.03540117296140721
44,25,28.138261438776155,27.994367086379704,25,0.322568485607496,-3.138261438776155,0.26600821241556005
45,25,28.39368000541557,28.07596164025678,25,0.013388569205789003,-3.3936800054155682,-0.2554185666394133
46,25,28.060405644399363,28.06462676362313,25,0.35230097872183647,-3.0604056443993635,0.3332743610162048
47,25,28.65535012502774,28.15476838158171,25,0.0073450655736448135,-3.6553501250277414,-0.5949444806283779
48,25,28.778790917896217,28.141231928679087,25,0.10806599279595315,-3.7787909178962167,-0.12344079286847531
49,25,28.423496562049788,28.157903852332183,25,0.3616618678881636,-3.423496562049788,0.35529435584642854
50,25,28.293755367728664,28.250381506639503,25,0.2565242816756611,-3.2937553677286644,0.12974119432112374
51,25,28.742596952155193,28.310935372789793,25,0.0073450655736448135,-3.7425969521551927,-0.44884158442652833
52,25,28.003965900171426,28.296620033769102,25,0.5003182293813018,-3.0039659001714263,0.7386310519837664
53,25,29.18722726323167,28.42989892751603,25,0.0073450655736448135,-4.187227263231669,-1.183261363060243
